gen,min_alpha_term,max_alpha_term,med_alpha_term,min_mu_term,max_mu_term,med_mu_term
1,0.728456,0.792153,0.786795,7.64972856268847E+016,2.02302016597165E+020,1.23575548456038E+019
2,0.798362,0.792153,0.844169,6.52349404388082E+017,2.02302016597165E+020,3.07464008871689E+019
3,0.813548,0.792153,0.793286,3.21754149914573E+017,2.02302016597165E+020,3.62530253601535E+019
4,0.778536,0.792153,0.813101,1.55138269312829E+018,2.02302016597165E+020,5.13794499476559E+019
5,0.77642,0.799516,0.858926,1.57250994335503E+018,3.18145627646163E+020,7.49376786371987E+019
6,0.834259,0.799516,0.850259,4.32113421955815E+018,3.18145627646163E+020,9.41138398498328E+019
7,0.80396,0.799516,0.894597,5.22391975508324E+018,3.18145627646163E+020,1.31459482188546E+020
8,0.854663,0.799516,0.836259,5.83674157616968E+018,3.18145627646163E+020,1.64475863707204E+020
9,0.832908,0.799516,0.814097,1.85119665035772E+019,3.18145627646163E+020,1.83392207573927E+020
10,0.82678,0.799516,0.814322,1.06287174837378E+019,3.18145627646163E+020,1.98762225849843E+020
11,0.819926,0.799516,0.782749,8.8677774482894E+017,3.18145627646163E+020,2.27919473662279E+020
12,0.829682,0.791098,0.809312,3.77542275742626E+018,3.4281548790636E+020,2.4292525272112E+020
13,0.844476,0.791098,0.783251,1.09739644215586E+019,3.4281548790636E+020,2.56386511078041E+020
14,0.819326,0.791098,0.812375,2.50980931557135E+017,3.4281548790636E+020,2.58781944948473E+020
15,0.816359,0.791098,0.812375,5.79574939133885E+017,3.4281548790636E+020,2.58781944948473E+020
16,0.818826,0.775811,0.793836,3.67683827014449E+018,3.62121810433588E+020,2.61588189754202E+020
17,0.810155,0.775811,0.775812,7.96504155616101E+018,3.62121810433588E+020,2.65506970582056E+020
18,0.74791,0.775811,0.775812,3.97678735193567E+018,3.62121810433588E+020,2.65506970582056E+020
19,0.710425,0.775811,0.775812,4.18748068002083E+018,3.62121810433588E+020,2.65506970582056E+020
20,0.861067,0.775811,0.775943,2.81783029276091E+018,3.62121810433588E+020,2.77422230144428E+020
21,0.777125,0.775811,0.790889,2.25383669034929E+018,3.62121810433588E+020,2.95276974493894E+020
22,0.706394,0.775811,0.790889,6.75790170863728E+018,3.62121810433588E+020,2.95276974493894E+020
23,0.816848,0.775811,0.797075,1.07926898771904E+018,3.62121810433588E+020,2.96842119240595E+020
24,0.810152,0.775811,0.808874,1.90428157849249E+018,3.62121810433588E+020,3.01948392117071E+020
25,0.802728,0.775811,0.786856,5.47641563298943E+017,3.62121810433588E+020,3.02096194967923E+020
26,0.803734,0.775811,0.786856,4.46177061187094E+017,3.62121810433588E+020,3.02096194967923E+020
27,0.750014,0.775811,0.786856,6.27742235708964E+017,3.62121810433588E+020,3.02096194967923E+020
28,0.816472,0.775811,0.786856,2.28167998261923E+017,3.62121810433588E+020,3.02096194967923E+020
29,0.84997,0.775811,0.820486,2.5906418587773E+018,3.62121810433588E+020,3.02403326825031E+020
30,0.884347,0.802952,0.792918,3.60585187184954E+017,3.67812206593784E+020,3.03114956435984E+020
31,0.722563,0.802952,0.792918,1.76666193058675E+018,3.67812206593784E+020,3.03114956435984E+020
32,0.791961,0.802952,0.795866,1.91424910709779E+018,3.67812206593784E+020,3.03495035778086E+020
33,0.821369,0.802952,0.795866,3.57348129136157E+019,3.67812206593784E+020,3.03495035778086E+020
34,0.824804,0.793544,0.813248,7.12137564333521E+018,3.70101730465582E+020,3.03967738111632E+020
35,0.781247,0.793544,0.813248,1.15030322496284E+019,3.70101730465582E+020,3.03967738111632E+020
36,0.767505,0.81276,0.812432,8.28962325121382E+018,4.02183483128009E+020,3.05296496973034E+020
37,0.770929,0.81276,0.812432,2.05255002831857E+019,4.02183483128009E+020,3.05296496973034E+020
38,0.788731,0.81276,0.81862,1.79851262391525E+019,4.02183483128009E+020,3.09979125243585E+020
39,0.806919,0.81276,0.81862,1.02152513181217E+019,4.02183483128009E+020,3.09979125243585E+020
40,0.775925,0.81276,0.81862,2.5833786740439E+019,4.02183483128009E+020,3.09979125243585E+020
41,0.832893,0.81276,0.81862,7.37322627978496E+017,4.02183483128009E+020,3.09979125243585E+020
42,0.753292,0.81276,0.771851,3.08793869369558E+018,4.02183483128009E+020,3.1186727144922E+020
43,0.876298,0.81276,0.818687,2.41058320348445E+019,4.02183483128009E+020,3.13351881600795E+020
44,0.812593,0.815255,0.799516,8.84918777822974E+017,4.14754643690509E+020,3.18145627646163E+020
45,0.813915,0.815255,0.804112,1.78346803183263E+019,4.14754643690509E+020,3.20745652612721E+020
46,0.811312,0.815255,0.804112,1.83197223888085E+018,4.14754643690509E+020,3.20745652612721E+020
47,0.812772,0.829605,0.806235,1.11573662511768E+019,5.74026201068866E+020,3.24048753764879E+020
48,0.798053,0.829605,0.806235,9.58539438478463E+017,5.74026201068866E+020,3.24048753764879E+020
