run,gen,alpha,mu,vol
1,1,700.010773,17.434,850.9255126048535
1,1,562.060965,4.781,634.7609058370194
1,1,654.161703,19.098,827.8640070019536
1,1,885.460649,10.794,1146.5823545256196
1,1,626.518738,9.634,775.5843273052259
1,1,936.981893,9.819,1171.914167529994
1,1,777.674293,3.957,984.966563039079
1,1,1072.70066,3.308,1282.2213335659976
1,1,942.022684,1.105,1293.176727595467
1,1,537.340088,7.834,674.128643013026
1,1,852.879584,14.195,996.9172182874
1,1,637.773445,8.359,756.584523274641
1,1,732.910958,7.912,975.104621229887
1,1,745.123327,5.784,901.0282015668137
1,1,818.369513,14.522,1050.1586241710863
1,1,749.352045,9.401,931.1252629585157
1,1,480.958922,11.614,607.0545416713958
1,1,657.823136,22.651,809.0300613858386
1,1,657.199741,45.515,829.6372279009518
1,1,712.564243,22.883,824.8974724845248
1,1,774.077769,19.687,911.1397499419426
1,1,1001.965818,19.953,1304.2511386554372
1,1,817.701552,6.122,913.7692535221404
1,1,1000.599942,9.66,1162.8194412983853
1,1,609.263763,35.615,732.731850104757
1,1,709.699565,17.862,840.7081046277835
1,1,963.771289,11.48,1195.4932729797877
1,1,863.610667,3.741,1069.9019441942748
1,1,535.349968,23.852,671.2251866528866
1,1,679.158419,21.965,831.5398640297768
1,1,380.015504,13.711,453.59395604028197
1,1,962.943302,13.663,1223.8802866518743
1,2,657.199741,45.515,829.6372279009518
1,2,609.263763,35.615,732.731850104757
1,2,535.349968,23.852,671.2251866528866
1,2,712.564243,22.883,824.8974724845248
1,2,657.823136,22.651,809.0300613858386
1,2,679.158419,21.965,831.5398640297768
1,2,654.161703,19.098,827.8640070019536
1,2,774.077769,19.687,911.1397499419426
1,2,380.015504,13.711,453.59395604028197
1,2,709.699565,17.862,840.7081046277835
1,2,700.010773,17.434,850.9255126048535
1,2,1001.965818,19.953,1304.2511386554372
1,2,480.958922,11.614,607.0545416713958
1,2,852.879584,14.195,996.9172182874
1,2,818.369513,14.522,1050.1586241710863
1,2,962.943302,13.663,1223.8802866518743
1,2,699.499681,30.914,822.6900820116284
1,2,905.38518,6.398,1214.9228121968156
1,2,811.882784,19.597,1067.4816399053539
1,2,880.110583,10.761,1049.4749417750616
1,2,528.808164,21.801,675.0016148925257
1,2,698.240854,18.412,834.3585423553667
1,2,554.560472,24.709,680.2358825387662
1,2,530.961051,9.083,664.1563993708021
1,2,801.208769,14.374,1017.9948914777991
1,2,825.91643,7.249,991.3056157878251
1,2,698.108671,21.529,839.5778204571363
1,2,563.805211,17.395,733.4961664907112
1,2,506.5265,11.186,633.5664700161859
1,2,642.291355,14.381,775.5448918141976
1,2,625.161567,2.511,783.055428686098
1,2,617.166222,6.177,752.9873361418597
1,3,657.199741,45.515,829.6372279009518
1,3,609.263763,35.615,732.731850104757
1,3,699.499681,30.914,822.6900820116284
1,3,554.560472,24.709,680.2358825387662
1,3,535.349968,23.852,671.2251866528866
1,3,528.808164,21.801,675.0016148925257
1,3,712.564243,22.883,824.8974724845248
1,3,657.823136,22.651,809.0300613858386
1,3,679.158419,21.965,831.5398640297768
1,3,698.108671,21.529,839.5778204571363
1,3,654.161703,19.098,827.8640070019536
1,3,774.077769,19.687,911.1397499419426
1,3,380.015504,13.711,453.59395604028197
1,3,563.805211,17.395,733.4961664907112
1,3,698.240854,18.412,834.3585423553667
1,3,709.699565,17.862,840.7081046277835
1,3,562.184527,6.88,698.9977817938802
1,3,630.720193,27.949,768.406476392508
