mono,mu,alpha
1042,2.85,137.899728
721,1.717,130.309364
201,3.108,100.959255
971,2.724,90.743521
342,1.168,94.83284
906,1.882,122.456578
1063,1.901,121.414619
1181,1.516,72.369444
910,1.934,117.886888
290,2.518,169.842403
497,1.955,104.09478
908,1.908,84.502629
579,2.612,105.465612
269,2.292,133.72784
1208,0.219,170.369782
1206,1.912,368.04293
927,1.649,166.929841
824,2.177,157.838577
634,1.491,411.084746
6,1.323,101.5074
209,1.99,158.269958
15,1.177,106.12006
1211,1.382,106.919638
173,3.054,104.484483
807,2.731,117.148318
225,2.356,215.317971
1107,1.306,105.599316
320,0.483,158.981316
873,4.245,157.472633
341,2.051,117.822805
796,7.589,101.334345
286,2.351,118.11867
356,2.699,123.34965
106,0.0,41.049795
1187,1.155,112.848317
677,8.865,110.78233
340,2.412,97.629398
1069,4.412,117.731754
418,2.593,138.117325
1002,0.991,157.091743
555,2.21,102.275906
1198,1.98,126.771579
169,1.895,72.375568
603,2.143,137.510519
1101,7.421,118.817216
1161,1.415,84.325623
200,0.509,113.647953
621,2.759,181.403562
206,3.333,160.551861
1006,1.848,150.557623
784,0.074,131.775437
440,6.481,138.542851
308,3.152,85.301314
773,1.835,141.257462
426,0.922,138.654687
1225,3.934,118.351705
682,0.0,108.582427
180,4.049,85.305104
165,2.256,169.49015
652,0.161,164.020002
1004,2.49,122.978423
304,0.003,106.329182
678,0.013,182.057336
980,9.02,88.239404
1050,0.669,98.067222
569,4.513,151.157691
348,0.906,160.165015
223,1.417,123.995093
471,1.92,244.527738
560,3.183,133.435139
56,3.078,110.926635
249,1.101,121.152553
797,6.845,143.759102
403,2.659,284.619529
975,4.881,95.139638
381,0.754,129.796675
1106,0.361,152.170634
543,3.751,78.505925
1039,0.923,171.374287
254,3.342,171.957361
959,1.946,116.900338
437,3.107,110.894256
662,4.358,173.791158
550,2.1,63.284848
84,2.409,142.320142
633,0.66,131.356519
531,0.376,92.512447
69,1.89,95.276818
1114,3.471,181.450779
587,1.941,74.078978
110,6.111,149.15252
810,1.676,125.531642
242,0.039,140.721318
802,3.45,218.897077
928,0.514,134.942595
1096,2.854,171.617762
1067,0.901,139.003564
1097,0.476,104.938466
585,5.825,118.15976
453,6.662,99.563198
98,0.655,139.135603
494,6.226,133.663304
847,1.1,120.563025
176,2.247,126.822452
358,3.249,125.505321
272,2.985,91.522255
335,3.195,80.855725
914,6.409,141.479318
224,2.651,95.851659
394,2.311,219.32211
990,3.833,128.404459
666,2.26,182.062508
393,3.998,119.267948
392,2.563,199.795512
812,1.955,140.429903
97,4.397,162.16805
1213,0.63,414.598411
380,0.766,109.114504
316,2.686,111.185027
632,1.952,76.869843
639,3.725,129.917023
188,1.747,128.934882
325,2.291,104.509679
1171,0.087,268.408703
162,0.796,110.081247
991,2.792,125.184073
87,5.475,120.276687
1098,0.486,155.317322
874,4.868,134.274869
837,0.364,163.302634
1083,2.163,99.932593
350,2.188,68.138466
1018,1.986,183.611226
257,0.874,171.084782
717,2.126,151.485986
214,4.175,120.216789
592,3.869,99.083659
994,5.52,90.544982
130,0.588,96.522978
213,0.767,110.784296
203,0.841,92.071198
396,4.434,146.586441
1220,2.799,109.58766
939,2.949,165.188342
160,0.951,149.328224
218,2.376,90.456391
730,4.04,148.855846
490,3.104,138.725179
806,0.019,202.45054
222,0.269,290.915806
1174,0.005,125.024343
574,4.277,171.471469
163,3.517,162.243764
875,0.229,95.815824
32,7.295,114.709345
537,2.253,115.550438
16,3.553,132.097841
744,0.899,207.127779
519,1.385,173.979046
65,4.051,178.873384
239,2.017,166.364618
131,0.28,204.580937
190,3.869,135.322111
89,7.586,116.33099
610,3.452,65.213255
144,1.855,152.097741
373,0.182,224.999509
564,3.624,112.660937
42,3.0,115.721405
1045,0.693,149.52985
735,2.555,183.054545
1234,5.346,142.441317
361,0.046,100.782712
349,3.193,118.513547
444,1.367,83.000547
59,2.566,82.40858
100,2.252,143.517861
1056,2.294,145.527261
205,0.796,103.32934
187,0.862,82.964771
738,0.686,152.332637
390,1.973,204.581906
844,0.937,161.327966
312,2.735,117.909028
963,4.693,78.847969
505,1.943,94.331542
230,3.437,116.217642
1079,1.49,101.499673
936,4.374,158.857728
1168,7.506,69.689151
638,0.0,151.32856
660,3.786,135.752073
575,1.588,135.937591
1076,1.943,124.379494
23,1.488,76.505522
1073,5.56,253.785041
752,1.099,110.7402
876,1.929,96.564027
663,3.482,158.262018
698,2.91,146.795295
888,7.823,155.522978
78,1.633,161.045603
622,4.034,244.450441
460,2.533,194.587574
686,2.071,105.297449
653,1.232,96.276492
811,4.667,159.17923
271,2.258,104.913355
1057,3.822,100.971734
930,2.578,262.066674
1207,6.997,151.723199
64,5.143,101.823246
734,0.021,90.95039
57,1.63,103.598417
705,2.002,111.609748
1049,1.005,154.034978
273,2.439,117.110453
217,0.738,100.904425
111,4.427,140.246257
708,1.035,158.967041
1108,1.908,132.040127
763,4.155,142.769173
1164,3.356,129.6574
522,4.028,201.455059
327,1.486,80.944382
1005,5.91,149.961494
1090,3.063,113.748244
503,1.864,85.784916
186,4.004,127.875704
808,1.655,124.439551
306,1.995,173.443161
450,7.449,141.459893
386,0.009,147.814383
743,4.856,68.021663
489,3.309,151.319801
1194,4.156,102.747184
284,2.404,96.047977
321,0.595,109.089511
1141,1.258,76.900207
1058,5.571,124.207418
1009,4.597,183.384739
762,3.012,95.641919
898,4.429,120.282233
791,2.784,104.842699
1125,5.72,127.429404
359,2.428,135.063203
121,9.615,127.892713
689,3.581,139.732421
292,0.769,128.316939
567,2.373,155.166364
210,2.563,97.808202
379,3.108,333.870901
